post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47695616,YouTube starts showing 90-second unskippable ads to TV viewers,entertainment,21,16,Brajeshwar,2026-04-09 10:18:54.057795,0.7272727272727273,False
47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,entertainment,464,196,MattHart88,2026-04-09 10:19:04.554343,0.421505376344086,True
47673880,Show HN: Pion/handoff – Move WebRTC out of browser and into Go,entertainment,100,17,Sean-Der,2026-04-09 10:19:06.478806,0.16831683168316833,False
47636579,Show HN: Anos – a hand-written ~100KiB microkernel for x86-64 and RISC-V,entertainment,113,31,noone_youknow,2026-04-09 10:19:09.430054,0.2719298245614035,False
47673394,"Show HN: Stop paying for Dropbox/Google Drive, use your own S3 bucket instead",entertainment,246,200,Zm44,2026-04-09 10:19:22.101454,0.8097165991902834,True
47637828,Show HN: Tusk for macOS and Gnome,entertainment,120,46,factorialboy,2026-04-09 10:19:23.089635,0.38016528925619836,False
47664186,"Battle for Wesnoth: open-source, turn-based strategy game",sports,537,163,akyuu,2026-04-09 10:19:24.109381,0.30297397769516726,True
47676044,Show HN: Finalrun – Spec-driven testing using English and vision for mobile apps,entertainment,27,12,ashish004,2026-04-09 10:19:26.036455,0.42857142857142855,False
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,323,158,Bender,2026-04-09 10:19:31.985899,0.4876543209876543,True
47629021,Global Physics Photowalk: 2025 winners revealed,worldnews,27,1,ibobev,2026-04-09 10:19:44.055321,0.03571428571428571,False
47690049,Amazon rewards loyal Kindle devotees by closing the book on old e-readers,worldnews,33,22,beardyw,2026-04-09 10:19:48.089490,0.6470588235294118,False
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,307,192,keepamovin,2026-04-09 10:19:52.759686,0.6233766233766234,True
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,317,90,player_piano,2026-04-09 10:20:05.290245,0.2830188679245283,True
47693799,Food shock is inevitable due to the Iran war,worldnews,13,2,measurablefunc,2026-04-09 10:20:09.766588,0.14285714285714285,False
